Symbol,ALF,ALF,ALF,average,healthy,healthy,count,t-test,fold change
RPL22P22,215.007552,215.007552,207.093869,212.3696577,135.610981,133.696012,134.6534965,0.000196,1.577156652
KAT2B,42.097571,25.2214,62.746237,43.35506933,443.547874,477.217809,460.3828415,0.000201,0.0941717749
LRRN4,42.712572,41.8782075,40.27999,41.62358983,20.2361865,19.2881465,19.7621665,0.000201,2.106226047
ARHGAP27,52.5085416,49.8483278,50.9626596,51.10650967,29.2594504,29.477833,29.3686417,0.000212,1.740172739
PIR,24.737167,41.574019,31.947373,32.752853,181.275113,189.880676,185.5778945,0.000216,0.176491134
TM9SF2,59.15885,40.405463,97.379303,65.647872,716.811461,780.29959,748.5555255,0.000227,0.0876994021
CFL2,17.61256133,39.63447133,79.48695833,45.577997,649.6526113,698.3627477,674.0076795,0.000229,0.0676223705
SPRED2,14.60929533,17.475797,19.17495767,17.08668333,54.67329733,53.7488,54.21104867,0.000231,0.315188209
MSMO1,851.279859,248.852866,662.481208,587.5379777,5746.975246,5552.303693,5649.63947,0.000236,0.103995659
CTBP2,766.4218687,821.6167052,840.3390932,809.4592223,203.8705047,183.5020917,193.6862982,0.000244,4.179228112
LOC100289333,370.818947,355.486866,342.625949,356.3105873,108.435322,89.988296,99.211809,0.000255,3.591413068
GCLC,44.47246867,43.10893033,103.188351,63.58991667,585.023601,582.5537017,583.7886513,0.00026,0.108926264
SAA2-SAA4,494.503803,44.298847,911.553141,483.4519303,8101.742485,8686.142201,8393.942343,0.000262,0.0575953361
H2BFS,32.984172,31.35216,54.789978,39.70877,236.450608,240.093881,238.2722445,0.000267,0.16665294
CHPT1,33.92216633,22.175859,24.44378867,26.84727133,301.0373643,268.881368,284.9593662,0.00027,0.0942143846
DCTN6,125.948844,108.951636,144.151965,126.350815,395.314377,405.723832,400.5191045,0.000272,0.315467636
FAM69A,24.727006,12.06296633,45.30912,27.36636411,280.6829183,289.5298547,285.1063865,0.000276,0.0959864998
MASP2,73.01142167,57.54245733,47.961396,59.50509167,373.5205133,410.6715733,392.0960433,0.000279,0.15176152
C4BPA,1220.145733,51.336466,548.7915,606.7578997,9253.251204,9342.714509,9297.982857,0.000281,0.065256939
